SnippetFile;BW Avg Assignment;BW Avg blank lines;BW Avg commas;BW Avg comments;BW Avg comparisons;BW Avg Identifiers Length;BW Avg conditionals;BW Avg indentation length;BW Avg keywords;BW Avg line length;BW Avg loops;BW Avg number of identifiers;BW Avg numbers;BW Avg operators;BW Avg parenthesis;BW Avg periods;BW Avg spaces;BW Max Identifiers Length;BW Max indentation;BW Max keywords;BW Max line length;BW Max number of identifiers;BW Max numbers;BW Max char;BW Max words
1;0,200000003;0,200000003;0,100000001;0;0;6,428571224;0,100000001;12,39999962;0,699999988;16,29999924;0;2,099999905;0;0;0,699999988;0,200000003;1,200000048;13;24;2;47;6;0;17;4
2;0,800000012;0,300000012;0;0;0,300000012;7;0,300000012;8,800000191;0,5;20,20000076;0;2,700000048;0,5;0;1,200000048;0,800000012;10,69999981;11;16;2;50;6;1;19;4
3;0,5;0;0,166666672;0;0,333333343;7,416666508;0,333333343;12,66666698;0,5;42,16666794;0;5;0,5;1;1,333333373;0,333333343;4,5;19;16;1;98;13;1;17;5
4;0,230769232;0,07692308;0,230769232;0,538461566;0;5,735848904;0,07692308;5,692307472;0,461538464;32,38461685;0;4,538461685;0;0,846153855;0,230769232;0,230769232;10,69230747;15;12;3;72;13;0;49;3
5;0;0;0;0,333333343;0;7,785714149;0,111111112;6,888888836;0,555555582;19;0;2,222222328;0,111111112;0,666666687;0,888888896;0,444444448;8,111110687;20;12;2;46;6;1;15;1
6;0,5;0;0;0;0;3,833333254;0,5;4;1;23,75;0;4,5;0,5;0;1,25;0;6,25;7;4;3;36;7;1;8;4
7;0,272727281;0,090909094;0;0,545454562;0;5,090909004;0;2,818181753;0,454545468;25,18181801;0;3,909090996;0,454545468;1,272727251;0,454545468;0,454545468;6,454545498;13;4;2;65;12;4;21;4
8;0,5;0;1,5;0;0;7,111111164;0,5;7;1;46;0,25;5,5;0;0;1;0,75;3,5;16;8;3;100;10;0;22;4
9;0,300000012;0,200000003;0;0,300000012;0;5,607142925;0;5,400000095;0,5;25,10000038;0,200000003;3,299999952;0;0,699999988;1,100000024;0,5;8,699999809;15;12;2;74;12;0;27;3
10;0;0,083333336;0;0,083333336;0;6,681818008;0,083333336;8,333333015;0,75;19,75;0;2,583333254;0;0,166666672;0,75;0,583333313;9,416666985;24;12;2;41;5;0;27;4
11;0,428571433;0,285714298;0;0;0,142857149;6,636363506;0,142857149;7,428571224;0,714285731;18,2857151;0;2,285714388;0;0,285714298;0,285714298;0;2,571428537;22;16;2;46;6;0;13;2
12;0;0,571428597;0,142857149;0;0;7;0;3,428571463;0;13,4285717;0;1,571428537;0;0;0,571428597;0,571428597;3,571428537;16;8;0;39;5;0;9;2
13;0,800000012;0;0,300000012;0,100000001;0,300000012;6,931034565;0,300000012;7,900000095;1,5;36,5;0;4,400000095;0;0,400000006;0,699999988;0;5;12;12;4;81;10;0;41;7
14;0,272727281;0,363636374;0;0,090909094;0,090909094;6,099999905;0,090909094;5,454545498;0,454545468;16,81818199;0;2,272727251;0;0,181818187;0,545454562;0,272727281;7;13;12;2;53;6;0;19;3
15;0,400000006;0,200000003;1;0;0;9;0;8;0,600000024;56,59999847;0;5,800000191;0,600000024;0,400000006;2,400000095;1,799999952;11;19;16;2;90;10;2;26;6
16;0,600000024;0,200000003;0;0;0;11,69999981;0,200000003;7,199999809;0,800000012;32,59999847;0;2,799999952;0;0;0,800000012;0,600000024;2,799999952;18;12;2;65;5;0;16;2
17;0,571428597;0,428571433;0;0;0,428571433;6,866666794;0;5,142857075;0,571428597;23,1428566;0,142857149;2,857142925;0,142857149;0,285714298;0,857142866;0,142857149;8;18;12;2;53;7;1;18;2
18;0,285714298;0;0;0,428571433;1,714285731;5,85185194;0;6;0,428571433;33,8571434;0;4,285714149;0;1;0,857142866;1,142857194;3,142857075;14;8;1;55;7;0;25;2
19;0,333333343;0,111111112;0,666666687;0,333333343;0;7,736842155;0;6,333333492;0,666666687;27,11111069;0;2,777777672;0;0,666666687;0,333333343;0;12,11111069;14;15;3;72;9;0;22;5
20;0,5;0,25;0,5;0;0;7,909090996;0;6;0,75;30,5;0;3,5;0;0;0,5;0;8,5;15;8;2;63;7;0;15;2
21;0,200000003;0;0;0;0;6,75;0,200000003;10,39999962;0,600000024;16,60000038;0;2,200000048;0;0;0,600000024;0;2,400000095;11;12;2;37;4;0;8;2
22;0,125;0;0,5;0,5;0;8,119999886;0;5,125;0,375;33;0;3,5;0;0,875;0,75;0,875;6,625;19;6;1;93;12;0;34;4
23;0,571428597;0;0;0;0,285714298;8,238095284;0,285714298;9,142857552;0,857142866;39,42856979;0;4,142857075;0,285714298;0,571428597;1,714285731;0,857142866;3,428571463;15;12;2;77;7;1;32;5
24;0;0,285714298;0,142857149;0;0;11,60000038;0;6,857142925;0,857142866;25,5714283;0;2,285714388;0;0;1;0;8,142857552;17;12;4;46;6;0;20;4
25;0,857142866;0,142857149;0,285714298;0;0,142857149;6,0625;0,142857149;16;0,857142866;45,8571434;0;5,428571224;0;0,428571433;2,571428537;1,714285731;20,5714283;13;24;2;91;10;0;41;4
26;0,125;0,125;1,5;0;0,125;5,320000172;0,125;12,125;0,25;28,5;0;4,5;1,125;1,375;0,875;0,375;16,625;9;58;1;63;10;3;18;6
27;0,428571433;0;0;0,428571433;0;6,692307472;0;6;0,571428597;36,2857132;0,142857149;4,571428776;0,285714298;1,428571463;0,857142866;0,857142866;10,14285755;24;8;1;63;8;1;26;3
28;0,285714298;0;0;0;0,285714298;6,958333492;0,142857149;11,4285717;0,857142866;34,8571434;0,142857149;4,285714149;0;0;1,714285731;1;2;22;16;3;67;8;0;28;4
29;0,5;0,25;0;0;0;8,399999619;0;6;0,25;16;0;1,75;0,25;0;0;0,25;8;14;8;1;27;3;1;8;1
30;0,300000012;0;0;0,5;0,800000012;6,866666794;0,100000001;6,400000095;0,400000006;41,79999924;0,5;4,900000095;0;1;1;0,800000012;10,5;19;12;2;116;10;0;32;4
31;0;0,300000012;0;0;0;10,60000038;0,200000003;10,39999962;0,800000012;30,29999924;0;2,799999952;0;0,100000001;1,100000024;0,400000006;1,5;24;20;2;64;7;0;41;5
32;0,428571433;0;0,142857149;0,428571433;0;6,25;0;3,142857075;0,285714298;30;0;3,857142925;0,142857149;1;0,714285731;0,857142866;6,142857075;11;4;1;66;10;1;21;4
33;0,300000012;0;0,300000012;0,600000024;0,800000012;6,75;0;9,699999809;0,300000012;38,29999924;0,100000001;4,699999809;0;1,100000024;0,200000003;0,100000001;4,5;19;12;2;111;15;0;46;5
34;0;0,333333343;0;0;0;10,91666698;0;9,333333015;0,666666687;20,55555534;0;2;0;0;0,333333343;0,333333343;10,33333302;22;16;1;34;3;0;33;3
35;0;0;0,727272749;0,454545468;0,363636374;8,697674751;0;7,636363506;0,363636374;43,72727203;0,090909094;4,636363506;0,363636374;0,818181813;0,909090936;1;9,727272987;22;16;2;111;10;2;47;5
36;0,5;0;0,833333313;0,166666672;0;6,157894611;0,166666672;14,66666698;1;32,33333206;0;4,166666508;0;0,666666687;1;0,5;4,166666508;16;20;2;50;7;0;22;4
37;0,111111112;0,333333343;0,444444448;0;0;7,896551609;0,222222224;3,555555582;1,111111164;37,11111069;0,111111112;4,333333492;0;0;1,666666627;1,111111164;5,222222328;30;8;2;91;11;0;24;5
38;0,5;0;0;0;0,5;8;0,166666672;8,666666985;1,333333373;32,66666794;0;3,833333254;0;0;1;0,833333313;2;17;12;2;61;6;0;24;3
39;0,400000006;0,200000003;0;0;0;5,466666698;0;16,39999962;0;23,20000076;0;3,599999905;0,600000024;0;0,600000024;1;17,79999924;14;46;0;48;7;2;9;4
40;0,181818187;0,090909094;0,090909094;0,545454562;0;7,0930233;0,181818187;5,181818008;0,090909094;36,54545593;0,090909094;4;0;1;0,909090936;0,636363626;9,090909004;20;8;1;84;13;0;61;5
41;0,666666687;0;0;0;0,166666672;2,944444418;0;7;0,666666687;18,5;0;3,833333254;0,166666672;0,166666672;1;0;8,333333015;7;8;1;39;8;1;10;5
42;0,5;0;0,166666672;0;0;8,199999809;0,333333343;5;1,333333373;34,16666794;0;3,833333254;0;0;1,5;0,333333343;7,833333492;19;8;3;58;6;0;22;3
43;0,5;0;0,5;0;0,5;9,181818008;0;11;0,75;35,5;0;3,5;0;0;0,75;0;2,25;28;12;2;82;8;0;17;2
44;0,600000024;0,200000003;0;0;0;5,454545498;0;8,800000191;0,400000006;18;0;2,599999905;0;0;0,400000006;0,600000024;10,80000019;16;12;1;35;4;0;12;4
45;0,75;0,25;0,5;0;0;7,952381134;0;6;1,25;57,25;0;6,5;0;0;1,25;0,75;10;11;8;2;89;10;0;22;4
46;0,090909094;0;0;0,454545468;0;6,575757504;0,181818187;7,272727489;0,909090936;29,54545403;0;3,909090996;0;0,454545468;0,545454562;0,272727281;4,272727489;20;12;2;71;13;0;42;3
47;0,300000012;0;0,100000001;0,600000024;0;8,899999619;0;5,099999905;0,600000024;26,20000076;0;2,599999905;0;0,899999976;0,5;0,300000012;7,300000191;22;6;3;91;8;0;23;5
48;0,200000003;0;0,200000003;0,600000024;0;6,529411793;0,100000001;5,699999809;0,300000012;29,60000038;0;3,700000048;0;0,899999976;0,300000012;0,100000001;3,900000095;17;8;1;75;8;0;31;4
49;0,100000001;0,300000012;0;0;0;10,14285755;0,100000001;6;0,600000024;12;0;1,299999952;0;0;0,600000024;0,200000003;6,800000191;15;12;2;55;4;0;11;2
50;0,125;0,125;0;0;0;9;0,25;11,5;0,75;15,875;0,125;1,75;0;0;1,125;0;12,75;15;16;2;46;5;0;10;2
51;0,428571433;0,142857149;0;0;0,142857149;6,5;0,142857149;6,285714149;0,857142866;21,1428566;0;2,857142925;0,285714298;0,285714298;0,714285731;0,285714298;2,428571463;11;12;2;53;6;1;12;4
52;0,200000003;0,400000006;1;0;0;6,5;0;2,400000095;0,200000003;35,40000153;0;5;0,800000012;0;1,399999976;1,200000048;3,799999952;20;4;1;99;14;2;24;2
53;0,333333343;0;0;0;0;7;0,5;12;1,166666627;36,5;0;4,333333492;0;0,5;1,833333373;1;2,833333254;12;16;3;65;9;0;25;3
54;0;0,142857149;1;0,428571433;0;5,800000191;0;10,28571415;0,285714298;43,57143021;0;3,142857075;0;19,4285717;0,428571433;0,428571433;12,5714283;9;12;2;68;9;0;128;3
55;0,5;0,25;0,25;0;0,125;13,125;0,25;10;0,375;32,5;0;2,375;0;0;1,125;0,5;11,625;27;20;2;101;5;0;28;2
56;0,125;0;0,125;0,5;0;5,222222328;0;6,5;0,5;26,875;0;4,125;0,25;0,625;0,75;0,375;3,375;12;8;2;64;15;1;25;4
57;0,600000024;0,400000006;0,200000003;0;0;7,470588207;0;3,599999905;0;32,20000076;0;3,400000095;0;0;1,200000048;0,800000012;5,800000191;13;6;0;76;7;0;20;4
58;0,5;0;0,75;0;0;9,421052933;0;14;0,5;55,25;0,25;5,25;0;0;1,25;1;2,25;19;20;1;65;6;0;24;3
59;0,285714298;0,428571433;0;0;0;8,357142448;0;4;0,571428597;24,8571434;0;2,571428537;0;0;0,857142866;0,285714298;5,714285851;13;8;3;61;7;0;13;3
60;0,25;0,25;0;0;0;11,66666698;0;6;0,5;24;0;2;0;0;0,5;0,25;7;18;8;1;56;4;0;16;2
61;0,333333343;0,166666672;0;0;0;5,923077106;0,333333343;11,33333302;0,833333313;21,83333397;0;3;0;0,333333343;0,833333313;0,5;2,333333254;10;16;3;42;6;0;13;3
62;0,800000012;0,200000003;0;0;0,200000003;7,099999905;0,200000003;4;0,200000003;20;0;2,400000095;0,200000003;0,200000003;1;0,400000006;5;13;6;1;40;4;1;10;2
63;0,333333343;0;0;0;0,333333343;9,421052933;0;8;0,333333343;37,16666794;0,166666672;3,5;0;0;1,166666627;0,333333343;1,833333373;22;16;1;64;5;0;27;3
64;0,600000024;0,200000003;0;0;0;7,357142925;0;12;0,200000003;32,79999924;0,200000003;3;0;0;1,399999976;0,800000012;18,60000038;14;16;1;45;4;0;14;3
65;0,800000012;0,200000003;0;0;0,200000003;5,75;0;7,199999809;0,800000012;35,79999924;0,200000003;5;0,200000003;0,400000006;0,600000024;0,800000012;11,19999981;12;12;2;52;8;1;20;4
66;0,333333343;0,5;0,833333313;0;0;9,444444656;0;3;0,333333343;37;0;3,666666746;0,333333343;0;1;1;5;23;6;2;110;9;1;22;2
67;0,07692308;0,15384616;0;0,384615391;0,07692308;7,099999905;0,15384616;2,923076868;0,461538464;17,15384674;0;2,153846264;0,15384616;0,615384638;0,615384638;0,230769232;4,461538315;13;6;2;44;5;1;24;4
68;0,200000003;0;0;0;0;8,357142448;0,600000024;6,400000095;0,600000024;31;0;3,400000095;0;0;1,200000048;0,400000006;1,399999976;22;8;2;53;5;0;20;3
69;0,200000003;0,200000003;0,600000024;0;0;6,555555344;0;10,39999962;0,200000003;29,60000038;0;3,799999952;0;0;0,600000024;1,600000024;11,60000038;17;28;1;59;8;0;13;3
70;0,714285731;0;0,428571433;0;0,285714298;7,791666508;0,142857149;11,4285717;1;41,1428566;0;4,428571224;0;0;2,142857075;1,428571463;14;18;16;3;87;11;0;36;3
71;0,363636374;0,090909094;0;0,272727281;0,090909094;7,055555344;0,909090936;6,545454502;0,727272749;19,27272797;0;2,454545498;0,090909094;0,545454562;0,454545468;0,272727281;2,272727251;15;12;2;51;7;1;24;3
72;0,25;0,375;1;0;0;8,230769157;0,125;5;0,875;38,5;0;4,125;0;0;0,875;0,125;8,625;28;12;4;126;13;0;43;4
73;0,666666687;0,166666672;0,333333343;0;0,333333343;8,857142448;0,166666672;10;0,833333313;31,5;0,166666672;3,166666746;0;0;1,166666627;0,166666672;2,666666746;16;16;3;62;6;0;12;2
74;0,5;0,333333343;0,166666672;0;0;9,461538315;0;6,666666508;0,166666672;27,16666603;0,166666672;2,333333254;0;0;1,166666627;0,5;8,666666985;21;12;1;57;4;0;20;3
75;0,166666672;0;0,166666672;0,583333313;0;5,6842103;0,083333336;6,166666508;0,25;37,08333206;0;5,166666508;0,166666672;0,833333313;0,666666687;0,75;11,41666698;21;12;2;73;11;2;37;3
76;0;0,400000006;0;0;0;6,846153736;0;3,599999905;0;22,60000038;0;2,599999905;0;0;1,399999976;1,399999976;3,599999905;11;6;0;57;6;0;18;3
77;0,285714298;0,428571433;0;0;0;9,227272987;0;5,714285851;0,428571433;38;0;3,571428537;0;0,714285731;1;1;8,571428299;20;16;2;112;10;0;31;4
78;0,600000024;0;0,200000003;0;1;8,541666985;0,200000003;8;2;63,20000076;0,200000003;6,800000191;0;0,200000003;1,600000024;1;4,400000095;19;12;3;112;14;0;32;4
79;0,272727281;0,272727281;0,272727281;0;0,090909094;3,714285612;0,090909094;10,090909;0,545454562;14,909091;0,090909094;2,727272749;0,272727281;0,181818187;0,454545468;0,272727281;11,909091;10;35;2;62;10;1;11;3
80;0;0;0,090909094;0,636363626;0;4,98113203;0,090909094;6,727272511;0,363636374;33,63636398;0,090909094;5,181818008;0;1,272727251;0,545454562;0,363636374;11,45454502;22;8;2;68;13;0;39;5
81;0,230769232;0,15384616;0,07692308;0,307692319;0,07692308;6,764705658;0,15384616;6,153846264;0,461538464;24,46153831;0;3,076923132;0;0,538461566;0,692307711;0,230769232;3,076923132;16;12;2;68;14;0;35;5
82;0,428571433;0,285714298;0;0;0;9;0,142857149;6;0,428571433;19;0;2;0,142857149;0;0,714285731;0,285714298;7,428571224;16;10;2;52;5;1;11;2
83;0,25;0;0;0;0,25;8,25;0,25;10;1;36,125;0,125;4;0;0;1,75;0,75;2,125;22;16;3;71;8;0;31;4
84;0,428571433;0;0;0,571428597;0;5,534883499;0,142857149;9;0,142857149;43,1428566;0,142857149;6,285714149;0;0,714285731;0;0,714285731;15,4285717;12;11;1;71;12;0;27;4
85;0,181818187;0,090909094;0,272727281;0,363636374;0,090909094;5,763157845;0,090909094;5,818181992;0,363636374;29,45454597;0;4,090909004;0,272727281;0,636363626;1;0,545454562;8,909090996;15;12;3;78;16;2;41;5
86;0,200000003;0;0,400000006;0;0;3,933333397;0,100000001;5,699999809;1,799999952;21;0;3,5;0,200000003;0;0,800000012;0;8,5;9;12;9;86;16;1;16;3
87;0,142857149;0;0;0;0;6,391304493;0,285714298;8,857142448;0,857142866;33;0;4,714285851;0,571428597;0,571428597;1,571428537;1,428571463;10;15;16;3;56;8;4;30;4
88;0,333333343;0;0;0;0;7,470588207;0,333333343;7,333333492;0,666666687;29,66666603;0;3,5;0;0;1;0,333333343;2,333333254;13;12;2;52;7;0;22;3
89;0,090909094;0,363636374;0;0;0;7,384615421;0;6,909090996;0,545454562;14,54545498;0;1,727272749;0;0;0,454545468;0;8,090909004;14;16;1;26;3;0;16;4
90;1,111111164;0,222222224;0,222222224;0;0,444444448;7,925925732;0,333333343;8,888889313;1,111111164;37;0;4,111111164;0;0;1,444444418;0,777777791;12,22222233;17;16;4;85;9;0;39;4
91;0,714285731;0;1,285714269;0;0,142857149;6,615384579;0,142857149;3;1,571428537;44;0;6;0,714285731;0;1,714285731;0,428571433;7,857142925;24;6;7;94;13;2;21;4
92;0,272727281;0,090909094;0;0,454545468;0,363636374;7,86956501;0;5,818181992;0,454545468;23,36363602;0;2,545454502;0;0,727272749;0,454545468;0,090909094;8,090909004;20;12;1;63;7;0;24;3
93;0,25;0;0;0;0,083333336;8,428571701;0,333333343;17,33333397;1,083333373;31,5;0,166666672;3,416666746;0;0,083333336;1,333333373;0,5;2,75;19;28;5;66;10;0;39;4
94;0,571428597;0,428571433;0;0;0;2,727272749;0,142857149;5,714285851;0,285714298;9,285714149;0;1,857142806;0;0;0,571428597;0,285714298;7,428571224;8;12;2;22;4;0;5;2
95;0,25;0,25;0;0;0;13,89999962;0;6;0,25;40,5;0;2,75;0;0;1;1;6,75;21;8;1;78;4;0;24;2
96;0,300000012;0,100000001;0;0,5;0,400000006;6,5;0;5,199999809;0,5;22,20000076;0,100000001;2,700000048;0;0,899999976;0,5;0,400000006;7,5;20;8;2;44;6;0;23;2
97;0,111111112;0,111111112;0,555555582;0;0;8,107142448;0;8,444444656;0,444444448;34,77777863;0,111111112;3,666666746;0,111111112;0,222222224;1,222222209;0,555555582;10,44444466;15;16;2;88;11;1;26;3
98;0,75;0;0;0;0,25;6,555555344;0;13;0,75;41,5;0,25;5,5;0,25;0,5;1,5;1;2,75;22;16;2;66;7;1;20;2
99;0,666666687;0,25;0;0;0;7,586206913;0,083333336;9,333333015;0,25;26,25;0;2,666666746;0;0;0,666666687;0,833333313;11,58333302;12;16;1;65;7;0;33;6
100;0,125;0;0,125;0;0,875;7,368421078;0,25;12,5;1;51,75;0,125;5,875;0,125;0,375;2,125;1,25;17;36;20;4;98;13;1;47;4
